Date;Open;High;Low;Close;Adj Close;Volume
01/02/2000;43,049999;45,25;39;39,700001;19,469118;6478612
01/03/2000;40,240002;43,349998;34,5;37,5;18,39023;10641057
01/04/2000;39,5;44,700001;38,900002;40,400002;19,812407;6025618
01/05/2000;40,639999;46,950001;40,299999;45,889999;22,504734;5763668
01/06/2000;46;46,099998;43,849998;46,099998;23,245947;2898952
01/07/2000;46;49,220001;44,950001;49;24,708273;2534119
01/08/2000;48,900002;52,950001;47,75;51,5;25,968895;3439301
01/09/2000;51,200001;52,299999;45,599998;47,5;23,951902;3977012
01/10/2000;47;51,099998;46,200001;47,610001;24,007372;3963692
01/11/2000;48,900002;52,349998;44,549999;45,07;22,72657;4826102
01/12/2000;45,5;47,5;44,5;46,130001;23,261078;4582729
01/01/2001;46,130001;48,700001;45,25;47,990002;24,19898;5487719
01/02/2001;48;50,099998;47,830002;49,310001;24,864588;3733161
01/03/2001;48,66;49,759998;40,669998;44,27;22,32317;5701251
01/04/2001;44,709999;46,509998;41,450001;41,77;21,062544;4131605
01/05/2001;41,77;44,599998;39,099998;42,450001;22,149878;6714120
01/06/2001;42,349998;44,200001;40,509998;42;21,91507;7301274
01/07/2001;42,48;46,049999;42,119999;44,540001;23,240416;4684899
01/08/2001;44,599998;44,790001;40,299999;40,619999;21,195004;4493974
01/09/2001;40,950001;40,990002;29,1;34,560001;18,032974;5738520
01/10/2001;35,48;35,48;29,049999;30,5;15,914518;6359227
01/11/2001;30,700001;34,810001;29,059999;34,34;17,918182;8700372
01/12/2001;34,400002;37,830002;33,299999;37,700001;19,671389;4558167
01/01/2002;37,599998;38,299999;35,200001;37,310001;19,467892;3885098
01/02/2002;37,380001;37,599998;34,16;35,580002;18,565199;3749611
01/03/2002;35,310001;37,75;35,049999;37,5;19,56703;4310295
01/04/2002;37,59;42,740002;37,16;40,060001;20,902811;5691607
01/05/2002;40,189999;42,889999;37,439999;41;22,183453;6795279
01/06/2002;40,77;42,889999;37,540001;40,950001;22,156403;7640095
01/07/2002;40,919998;42,209999;30,01;37,700001;20,397959;8086372
01/08/2002;37,990002;39,400002;32;36,860001;19,943472;4718055
01/09/2002;37,25;38;30,299999;31,84;17,227348;5294242
01/10/2002;31,5;34,439999;27,559999;31,799999;17,205704;5896352
