Date;Open;High;Low;Close;Adj Close;Volume
01/02/2000;2832,419922;2938,879883;2644,780029;2746,080078;2746,080078;0
01/03/2000;2753,209961;2977,100098;2521,040039;2777,840088;2777,840088;0
01/04/2000;2795,330078;3034,5;2784,179932;2813,280029;2813,280029;0
01/05/2000;2842,050049;2926,97998;2781,639893;2849,429932;2849,429932;0
01/06/2000;2854,969971;2957,76001;2842,969971;2953,280029;2953,280029;0
01/07/2000;2949,719971;3078,919922;2928,050049;3068,610107;3068,610107;0
01/08/2000;3063,120117;3203,159912;3033,340088;3132,52002;3132,52002;0
01/09/2000;3136,560059;3148,72998;2942,73999;3056,01001;3056,01001;0
01/10/2000;3039,169922;3115,600098;2951,550049;3110,110107;3110,110107;0
01/11/2000;3120,610107;3210,030029;2948,219971;2988,580078;2988,580078;0
01/12/2000;3003,459961;3075,23999;2955,530029;3024,48999;3024,48999;0
01/01/2001;3014,600098;3059,320068;2939,02002;2968,610107;2968,610107;0
01/02/2001;2966,320068;3030,389893;2947,830078;2999,600098;2999,600098;0
01/03/2001;2992,199951;3004,379883;2585,340088;2838,409912;2838,409912;0
01/04/2001;2851,939941;2931,889893;2770,310059;2842,129883;2842,129883;0
01/05/2001;2847,290039;2851,560059;2748,209961;2786,159912;2786,159912;0
01/06/2001;2806,889893;2910,709961;2783,189941;2885,030029;2885,030029;0
01/07/2001;2890,709961;2970,810059;2864,810059;2928,97998;2928,97998;0
01/08/2001;2920,280029;2952,120117;2811,959961;2893,110107;2893,110107;0
01/09/2001;2909,919922;2909,919922;2224,570068;2642,550049;2642,550049;0
01/10/2001;2645,100098;2748,919922;2559,280029;2605,300049;2605,300049;0
01/11/2001;2593,790039;2729,419922;2571,219971;2633,820068;2633,820068;0
01/12/2001;2628,129883;2783,01001;2566,439941;2782,01001;2782,01001;0
01/01/2002;2766,75;2815,189941;2609,610107;2764,209961;2764,209961;0
01/02/2002;2761,600098;2813,76001;2666,179932;2748,689941;2748,689941;0
01/03/2002;2746,780029;2785,169922;2672,820068;2769,189941;2769,189941;0
01/04/2002;2766,360107;2906,75;2731,51001;2811,120117;2811,120117;0
01/05/2002;2813,909912;2901,350098;2694,830078;2727,419922;2727,419922;0
01/06/2002;2721,699951;2735,590088;2340,590088;2535,73999;2535,73999;0
01/07/2002;2520,310059;2569,840088;1930,339966;2255,800049;2255,800049;0
01/08/2002;2264,149902;2387,649902;1976,040039;2246,310059;2246,310059;0
01/09/2002;2243,129883;2262,389893;1827,780029;1869,089966;1869,089966;0
01/10/2002;1868,180054;2072,709961;1752,319946;1972,22998;1972,22998;0
01/11/2002;1970,790039;2133,840088;1947,150024;2074,389893;2074,389893;0
01/12/2002;2083,699951;2108,300049;1945,23999;2025,040039;2025,040039;0
01/01/2003;2010,98999;2075,159912;1793,76001;1882,530029;1882,530029;0
01/02/2003;1894,199951;1903,959961;1597,859985;1671,959961;1671,959961;0
01/03/2003;1683,530029;1782,079956;1425,060059;1635,219971;1635,219971;0
01/04/2003;1642,890015;1929,219971;1628,890015;1871,839966;1871,839966;0
01/05/2003;1877,550049;1964,150024;1844,02002;1925,640015;1925,640015;0
01/06/2003;1933,199951;2018,829956;1918,630005;1939,77002;1939,77002;0
01/07/2003;1934,939941;2023,26001;1889,77002;2023,26001;2023,26001;0
01/08/2003;2026,099976;2118,360107;1999,469971;2043,839966;2043,839966;0
01/09/2003;2051,189941;2139,23999;2041,209961;2051,830078;2051,830078;0
01/10/2003;2063,409912;2161,709961;2055,360107;2160,669922;2160,669922;0
01/11/2003;2162,070068;2207,070068;2125,919922;2168,320068;2168,320068;0
01/12/2003;2176,26001;2246,199951;2157,949951;2244,179932;2244,179932;0
01/01/2004;2252,449951;2407,919922;2244,860107;2383,76001;2383,76001;0
01/02/2004;2394,030029;2500,629883;2367,459961;2483,159912;2483,159912;0
01/03/2004;2486,02002;2524,72998;2300,540039;2380,350098;2380,350098;0
01/04/2004;2389,969971;2516,959961;2389,649902;2439,610107;2439,610107;0
01/05/2004;2434,889893;2463,780029;2335,780029;2415,429932;2415,429932;0
01/06/2004;2418,22998;2482,909912;2397,949951;2470,659912;2470,659912;0
01/07/2004;2476,300049;2489,909912;2406,22998;2465,129883;2465,129883;0
01/08/2004;2468,889893;2563,48999;2440,159912;2558,080078;2558,080078;0
01/09/2004;2560,139893;2706,699951;2558,560059;2693,209961;2693,209961;0
01/10/2004;2701,189941;2792,620117;2697,709961;2785,449951;2785,449951;86888800
01/11/2004;2783,300049;2890,26001;2780,860107;2850,949951;2850,949951;166300000
01/12/2004;2852,5;2956,899902;2848,419922;2932,620117;2932,620117;130008800
01/01/2005;2936,459961;3013,830078;2934,699951;2997,600098;2997,600098;146253200
